airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime
MODERATE,2022-01-01 00:16:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,162.0,0.0,66.5,70.47,220.76,101.64,4.77,0.0,19.7,0.89,81.46,0.53,81.37,1.7
SEVERE,2022-01-01 00:16:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,409.0,0.0,0.0,329.95,682.39,486.53,2.78,51.75,20.72,1.04,61.76,0.01,77.28,0.94
MODERATE,2022-01-01 00:16:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,197.0,0.0,5.74,89.07,0.0,122.86,1.67,54.05,21.4,1.69,80.99,0.59,75.94,0.87
VERY_POOR,2022-01-01 00:16:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,341.0,0.0,9.69,216.64,563.21,316.67,1.92,46.58,18.95,1.47,74.51,1.85,80.72,0.94
VERY_POOR,2022-01-01 00:16:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,305.0,0.0,0.06,168.3,155.25,240.73,2.5,93.93,19.25,3.83,62.49,0.0,80.82,0.94
VERY_POOR,2022-01-01 00:16:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,357.0,0.0,0.0,179.24,390.04,255.64,1.75,59.44,18.73,2.16,76.56,3.65,81.02,0.94
MODERATE,2022-01-01 00:16:10+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,117.0,0.0,7.83,81.37,487.78,123.23,3.0,64.7,20.58,3.26,78.98,3.67,80.48,0.94
MODERATE,2022-01-01 00:16:10+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,110.0,0.0,8.03,0.38,57.72,0.47,1.33,79.18,19.79,2.58,71.28,5.14,74.42,0.93
VERY_POOR,2022-01-01 00:16:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,357.0,0.0,0.0,179.24,390.04,255.64,1.75,59.44,18.73,2.16,76.56,3.65,81.02,0.94
MODERATE,2022-01-01 00:16:10+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,103.0,0.0,13.51,86.93,0.0,121.81,2.99,61.46,20.74,5.61,72.76,1.82,79.55,0.94
