airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime
VERY_POOR,2022-01-03 06:31:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,353.0,0.0,2.95,203.68,529.91,288.48,0.9,26.38,20.27,0.96,61.01,0.0,76.52,0.94
SATISFACTORY,2022-01-03 06:31:08+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,81.0,0.0,17.18,48.76,0.0,69.61,1.13,38.61,20.86,0.5,74.09,0.01,75.95,0.87
POOR,2022-01-03 06:31:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,259.0,0.0,0.0,135.99,0.0,206.29,1.42,64.17,19.83,1.81,67.82,1.43,83.28,0.94
MODERATE,2022-01-03 06:31:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,174.0,0.0,5.48,102.3,80.2,161.39,1.57,84.16,20.16,2.54,74.34,5.1,72.85,0.93
POOR,2022-01-03 06:31:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,254.0,0.0,0.0,179.91,413.62,250.14,0.79,43.05,18.39,1.01,76.17,1.94,82.01,0.94
MODERATE,2022-01-03 06:31:10+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,104.0,0.0,7.39,58.59,474.93,83.72,1.73,43.52,20.12,3.26,72.4,0.79,81.72,0.94
MODERATE,2022-01-03 06:31:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,152.0,0.0,0.55,106.9,142.63,157.68,0.94,77.62,18.32,2.76,63.06,0.0,82.55,0.94
SATISFACTORY,2022-01-03 06:31:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,84.0,0.0,10.52,75.5,0.0,103.48,0.91,45.42,20.55,5.25,75.97,0.0,77.16,0.94
VERY_POOR,2022-01-03 06:31:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,324.0,0.0,0.1,181.27,252.01,259.58,1.32,66.33,20.52,1.43,70.26,0.03,76.55,0.94
POOR,2022-01-03 06:31:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,254.0,0.0,0.0,179.91,413.62,250.14,0.79,43.05,18.39,1.01,76.17,1.94,82.01,0.94
POOR,2022-01-03 06:31:10+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,232.0,0.0,41.67,,0.0,,1.37,22.52,21.03,1.09,71.19,0.0,72.77,0.94
VERY_POOR,2022-01-03 06:31:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,316.0,0.0,21.87,118.45,413.02,176.07,1.29,39.65,18.94,1.53,58.05,1.1,86.34,0.94
POOR,2022-01-03 06:31:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,253.0,0.0,7.02,124.1,0.0,174.12,1.49,35.07,19.92,1.88,80.84,2.53,84.8,0.94
SATISFACTORY,2022-01-03 06:31:12+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,89.0,0.0,5.7,22.93,963.01,33.04,1.37,2.34,18.61,1.67,73.54,0.0,89.17,0.94
SATISFACTORY,2022-01-03 06:31:12+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,82.0,0.0,20.47,25.25,91.09,36.48,1.36,44.91,19.19,7.33,59.87,0.01,81.16,0.95
MODERATE,2022-01-03 06:31:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,156.0,0.0,0.0,139.45,297.32,205.97,0.91,21.26,23.48,51.01,66.03,0.0,65.18,0.89
MODERATE,2022-01-03 06:31:12+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,105.0,0.0,31.13,58.67,0.0,81.81,1.81,44.98,18.46,4.29,79.59,0.0,81.12,0.46
POOR,2022-01-03 06:31:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,216.0,0.0,0.65,121.99,0.0,172.16,1.1,39.31,20.27,8.93,61.11,2.64,80.36,0.94
SATISFACTORY,2022-01-03 06:31:13+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,96.0,0.0,13.98,101.74,0.0,150.09,1.27,40.74,20.63,2.93,72.24,3.59,79.8,0.94
SATISFACTORY,2022-01-03 06:31:13+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,55.0,0.0,1.8,16.1,510.64,24.11,0.45,39.3,19.91,0.65,102.01,0.68,74.29,0.94
VERY_POOR,2022-01-03 06:31:13+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,323.0,0.0,16.61,202.03,528.36,332.81,1.4,27.8,20.57,3.06,76.52,0.09,81.06,0.94
POOR,2022-01-03 06:31:13+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,212.0,0.0,11.41,137.2,50.19,193.95,1.6,32.38,,,69.55,0.0,,0.89
POOR,2022-01-03 06:31:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,240.0,0.0,0.57,124.45,348.75,186.0,2.05,10.29,19.49,0.98,76.41,1.4,83.57,0.94
POOR,2022-01-03 06:31:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,220.0,0.0,0.0,119.88,415.43,171.88,1.07,60.1,20.75,2.18,84.69,0.0,76.09,0.94
VERY_POOR,2022-01-03 06:31:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,355.0,0.0,32.61,247.31,215.7,371.82,1.16,13.63,19.81,4.8,77.86,0.3,83.46,0.94
VERY_POOR,2022-01-03 06:31:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/57c0323e-4cf7-2b22-0e54-e9c043d235cb,329.0,0.0,25.67,243.32,110.14,349.57,0.71,60.03,19.73,1.16,74.89,3.83,76.65,0.89
MODERATE,2022-01-03 06:31:15+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,103.0,0.0,10.71,43.19,479.6,58.26,1.24,0.0,20.15,2.26,77.73,1.13,85.85,0.94
MODERATE,2022-01-03 06:31:15+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,105.0,0.0,9.12,58.74,308.71,86.46,1.71,14.66,19.69,1.4,79.11,0.0,84.79,0.94
VERY_POOR,2022-01-03 06:31:15+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,314.0,0.0,11.19,212.46,402.65,309.77,1.08,43.88,19.58,0.05,61.99,2.47,80.31,0.94
VERY_POOR,2022-01-03 06:31:15+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,323.0,,20.42,179.95,308.62,259.93,1.01,37.29,19.58,0.21,74.07,0.0,84.37,0.94
MODERATE,2022-01-03 06:31:15+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,129.0,0.0,0.0,106.04,72.78,145.2,1.58,32.74,20.42,1.2,74.25,0.19,78.55,0.94
SATISFACTORY,2022-01-03 06:31:15+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,84.0,0.0,24.93,31.1,291.53,44.09,0.9,58.01,18.01,18.28,64.19,4.24,88.8,0.94
SATISFACTORY,2022-01-03 06:31:15+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,89.0,0.0,3.93,41.28,0.0,74.35,1.11,65.45,20.72,1.06,76.09,4.67,76.94,0.93
POOR,2022-01-03 06:31:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,290.0,0.0,2.55,158.07,492.07,228.2,1.06,93.36,20.92,0.98,74.01,1.37,77.5,0.94
MODERATE,2022-01-03 06:31:17+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,186.0,0.0,0.63,115.5,350.85,176.35,1.12,50.94,18.21,23.89,70.34,0.08,78.97,0.93
VERY_POOR,2022-01-03 06:31:19+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,328.0,0.0,23.18,233.72,420.19,341.48,0.71,72.52,20.08,0.3,78.39,0.0,79.99,0.92
MODERATE,2022-01-03 06:31:20+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,180.0,0.0,0.0,111.37,142.8,162.8,0.59,47.3,19.11,3.59,77.09,0.0,84.87,0.94
VERY_POOR,2022-01-03 06:31:22+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,343.0,0.0,12.29,183.57,106.5,278.88,0.78,54.8,19.4,3.66,71.0,3.02,81.75,0.94
MODERATE,2022-01-03 06:31:24+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,107.0,0.0,1.66,64.11,27.53,99.32,1.16,51.62,20.08,1.83,70.83,3.73,80.64,0.94
VERY_POOR,2022-01-03 06:46:09+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,333.0,0.0,0.03,172.87,249.31,248.06,0.79,53.56,19.98,4.84,79.97,0.0,77.39,0.94
MODERATE,2022-01-03 06:46:09+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,102.0,0.0,93.78,54.68,217.91,76.13,1.24,0.0,18.35,0.39,77.98,0.0,83.47,1.69
SATISFACTORY,2022-01-03 06:46:09+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,81.0,0.0,14.78,47.57,0.0,67.48,1.27,42.12,20.74,0.5,70.75,0.1,76.25,0.87
VERY_POOR,2022-01-03 06:46:09+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,353.0,0.0,1.63,209.72,558.06,302.4,1.18,29.9,20.16,1.0,61.57,0.0,76.73,0.94
SATISFACTORY,2022-01-03 06:46:09+05:30,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,89.0,0.0,6.65,41.61,543.81,62.16,0.8,47.27,19.74,18.59,76.71,0.0,76.84,0.93
MODERATE,2022-01-03 06:46:09+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,148.0,0.0,45.63,78.68,0.0,107.68,0.75,19.47,20.25,3.71,75.56,0.0,74.84,0.93
MODERATE,2022-01-03 06:46:11+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,104.0,0.0,7.99,61.05,479.03,87.68,1.93,45.11,20.0,3.24,71.78,1.16,82.21,0.94
MODERATE,2022-01-03 06:46:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,152.0,0.0,0.3,102.58,136.34,150.88,0.81,73.72,18.31,2.95,63.87,0.0,82.49,0.94
POOR,2022-01-03 06:46:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,232.0,0.0,40.4,,0.0,,1.36,26.28,20.98,1.06,71.38,0.0,72.37,0.94
SATISFACTORY,2022-01-03 06:46:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,84.0,0.0,10.43,70.57,0.0,97.25,0.9,46.11,20.42,5.34,76.26,0.0,77.47,0.94
VERY_POOR,2022-01-03 06:46:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,324.0,0.0,0.01,182.66,255.19,261.9,1.31,70.64,20.54,1.41,70.22,0.05,76.18,0.94
POOR,2022-01-03 06:46:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,254.0,0.0,0.0,181.89,413.26,253.41,0.79,41.96,18.35,0.17,76.14,1.9,81.91,0.94
POOR,2022-01-03 06:46:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,254.0,0.0,0.0,181.89,413.26,253.41,0.79,41.96,18.35,0.17,76.14,1.9,81.91,0.94
MODERATE,2022-01-03 06:46:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,174.0,0.0,4.47,101.83,86.44,159.15,2.01,84.83,20.15,2.72,73.9,5.8,72.64,0.93
POOR,2022-01-03 06:46:11+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,259.0,0.0,0.0,137.5,0.0,209.55,1.52,63.25,19.75,1.89,67.81,1.46,83.4,0.94
POOR,2022-01-03 06:46:12+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,216.0,0.0,0.52,122.68,0.0,173.63,1.22,38.7,20.21,9.19,61.81,2.69,80.45,0.94
POOR,2022-01-03 06:46:13+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,253.0,0.0,6.01,121.44,0.0,168.95,1.47,33.76,19.85,1.87,81.01,2.55,85.02,0.94
SATISFACTORY,2022-01-03 06:46:13+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,82.0,0.0,22.91,27.38,96.81,39.41,1.67,44.91,19.19,7.79,59.86,0.06,80.97,0.95
SATISFACTORY,2022-01-03 06:46:13+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,89.0,0.0,5.22,22.83,965.78,33.1,1.4,0.05,18.61,1.62,73.47,0.0,89.16,0.94
MODERATE,2022-01-03 06:46:13+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,156.0,0.0,0.0,123.66,292.25,185.76,0.8,23.0,23.38,51.11,66.23,0.0,65.32,0.89
VERY_POOR,2022-01-03 06:46:13+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,316.0,0.0,21.89,119.92,418.51,177.41,1.52,38.95,18.92,1.53,58.05,1.33,86.26,0.94
MODERATE,2022-01-03 06:46:13+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,105.0,0.0,29.85,57.78,0.0,80.8,1.74,44.55,18.4,4.21,80.56,0.0,81.16,0.46
VERY_POOR,2022-01-03 06:46:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,323.0,0.0,16.93,210.91,529.84,351.31,1.39,27.78,20.53,3.84,76.99,0.12,80.75,0.94
VERY_POOR,2022-01-03 06:46:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,355.0,0.0,33.07,253.41,217.76,378.26,1.18,12.39,19.84,4.95,78.49,0.33,83.23,0.94
VERY_POOR,2022-01-03 06:46:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/57c0323e-4cf7-2b22-0e54-e9c043d235cb,329.0,0.0,25.35,219.54,117.33,312.89,0.64,60.98,19.66,1.17,75.11,3.69,76.25,0.89
POOR,2022-01-03 06:46:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,212.0,0.0,12.09,134.65,49.18,189.32,1.44,28.51,20.61,1.55,70.32,0.0,76.38,0.5
POOR,2022-01-03 06:46:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,240.0,0.0,0.24,125.96,355.46,189.87,2.01,9.27,19.5,0.99,75.58,1.43,83.15,0.94
POOR,2022-01-03 06:46:14+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,220.0,0.0,0.19,123.41,409.81,182.08,1.13,62.31,20.62,2.12,82.69,0.0,76.1,0.94
SATISFACTORY,2022-01-03 06:46:14+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,96.0,0.0,13.68,104.97,0.0,153.69,1.33,42.33,20.62,2.96,72.93,3.81,79.27,0.94
SATISFACTORY,2022-01-03 06:46:14+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,55.0,0.0,1.51,16.3,512.88,25.18,0.45,41.31,19.75,0.65,102.01,0.7,74.36,0.94
MODERATE,2022-01-03 06:46:16+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/05fbae93-d3f7-0bbe-dd5d-2c2b4180edc7,103.0,0.0,6.92,43.7,454.24,59.42,1.21,0.0,20.12,2.41,78.11,1.59,84.64,0.94
MODERATE,2022-01-03 06:46:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,129.0,0.0,0.0,100.99,60.69,138.06,1.33,27.53,20.32,1.21,74.31,0.04,78.57,0.94
VERY_POOR,2022-01-03 06:46:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,314.0,0.0,9.82,209.07,398.99,305.17,1.07,42.63,19.55,0.05,62.12,2.41,80.2,0.94
MODERATE,2022-01-03 06:46:16+05:30,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,105.0,0.0,13.67,57.71,313.11,83.93,1.58,1.33,19.63,1.43,77.41,0.0,85.17,0.94
SATISFACTORY,2022-01-03 06:46:16+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,89.0,0.0,4.52,43.43,0.0,79.97,1.17,67.98,20.82,1.15,77.61,4.8,76.15,0.93
SATISFACTORY,2022-01-03 06:46:16+05:30,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,84.0,0.0,27.87,33.54,307.62,47.47,0.89,52.18,17.86,18.23,65.04,4.43,89.09,0.94
VERY_POOR,2022-01-03 06:46:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,323.0,,19.73,183.01,312.51,264.75,1.02,36.92,19.53,0.21,73.56,0.0,84.08,0.94
POOR,2022-01-03 06:46:16+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,290.0,0.0,2.68,154.85,488.5,222.78,1.04,90.47,20.87,0.96,74.69,1.29,77.42,0.94
MODERATE,2022-01-03 06:46:18+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,186.0,0.0,0.57,117.75,342.32,186.42,1.4,52.15,18.15,23.71,71.9,0.08,79.41,0.94
VERY_POOR,2022-01-03 06:46:19+05:30,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2922b6ff-0271-cde4-9378-bd00f1a6ea3c,328.0,0.0,23.18,218.89,419.1,320.21,0.66,72.53,20.03,0.3,78.28,0.0,79.93,0.92
